id_livre,id_award,date
998,1,1997-01-01
298827,1,1998-01-01
24876258,2,2015-01-01
24876258,3,2015-01-01
22852698,3,2015-01-01
6586456,3,2010-01-01
12970162,3,2012-01-01
13630171,3,2015-01-01
15808474,3,2013-01-01
6931246,3,2010-01-01
12759057,3,2012-01-01
29467232,3,2016-01-01
23909755,3,2016-01-01
13038833,3,2012-01-01
15730340,3,2013-01-01
17562900,3,2014-01-01
13239822,3,2012-01-01
12174312,3,2012-01-01
22062213,3,2017-01-01
22571699,3,2015-01-01
8131227,3,2011-01-01
22698568,3,2015-01-01
13265092,3,2012-01-01
10199908,3,2011-01-01
7302794,3,2010-01-01
12119529,3,2014-01-01
9343373,3,2010-01-01
27154427,3,2016-01-01
17333180,3,2018-01-01
35965482,3,2019-01-01
9581507,3,2011-01-01
24860071,3,2012-01-01
37173847,3,2018-01-01
15750610,3,2012-01-01
39855052,3,2019-01-01
12446825,3,2017-01-01
7767021,3,2010-01-01
10184855,3,2012-01-01
12086690,3,2015-01-01
18138189,3,2014-01-01
18693743,3,2014-01-01
20426917,3,2014-01-01
16142151,3,2013-01-01
17333174,3,2016-01-01
27366528,3,2018-01-01
12854800,3,2012-01-01
25776210,3,2016-01-01
20883847,3,2015-01-01
30687916,3,2017-01-01
38395454,3,2018-01-01
15707526,3,2012-01-01
17317908,3,2013-01-01
7815817,3,2010-01-01
13548142,3,2012-01-01
8679140,3,2011-01-01
25372801,3,2016-01-01
22055280,3,2015-01-01
17332218,3,2014-01-01
1166599,3,2009-01-01
22055262,3,2015-01-01
40874032,3,2013-01-01
3128411,3,2009-01-01
17910048,3,2014-01-01
34002132,3,2017-01-01
29939230,3,2017-01-01
7743175,3,2013-01-01
7165300,3,2010-01-01
20764879,3,2016-01-01
19161852,3,2015-01-01
10803121,3,2011-01-01
9579634,3,2011-01-01
21535271,3,2014-01-01
4703581,3,2009-01-01
6065215,3,2009-01-01
3475268,3,2009-01-01
12499290,3,2012-01-01
37903770,3,2017-01-01
6437061,3,2010-01-01
2890090,3,2013-01-01
25526296,3,2016-01-01
8694389,3,2011-01-01
8785374,3,2011-01-01
3475161,3,2009-01-01
9300768,3,2011-01-01
15985373,3,2013-01-01
10079321,3,2011-01-01
7116709,3,2010-01-01
39943621,3,2019-01-01
22522805,3,2015-01-01
6736971,3,2010-01-01
18739426,3,2016-01-01
29008738,3,2016-01-01
19486421,3,2014-01-01
8411749,3,2011-01-01
13578175,3,2012-01-01
31817749,3,2017-01-01
26228034,3,2016-01-01
40275288,3,2019-01-01
9688286,3,2010-01-01
19103097,3,2014-01-01
5215879,3,2009-01-01
