id,saga_name
104627,
22875451,Royal We 
61115,
2420340,Aurelia 
3216451,John Sutter 
6090807,
17305783,Texas 
11277218,Flavia de Luce  
13316328,The Last Dragonslayer 
146108,Tintin 
13642963,Flavia de Luce  
15799936,
7101,The U.S.A. Trilogy 
561402,
292275,
228128,
343738,Harlan's Story 
92846,Voyage of the Jerle Shannara 
13516487,The Remembrance Trilogy 
10283764,
170548,
74862,
35519101,The Murderbot Diaries 
7103,The U.S.A. Trilogy 
22191,Gossip Girl 
14707,Goethe's Faust 
162314,
43684,
23912,
9553,GhostWalkers 
104790,
438923,Stone Barrington 
2606779,
672965,
590324,The Shamer Chronicles 
10978,
936611,Maura Ryan 
256280,Empire Trilogy 
518982,
26480,
6514074,
54028,
36253,
2330877,Dreamhouse Kings 
9527985,
19596,
6586456,Naamah Trilogy 
35465,Star Wars: Clone Wars 
10571,
8241088,
96428,Tintin 
3321397,
560929,
354284,
344199,The Quantock Quartet 
59821,In the Garden 
6219294,
128109,
761849,
4333469,
1199174,The Shogun Quartet 
42929,Asian Saga: Chronological Order 
564325,
7284118,
9260806,
1928405,
257962,
854456,
6569211,Guardians of Eternity 
5936327,
7380006,
62812,The Sea of Fertility 
8999892,Spirit Guide 
263919,
3127326,
7057397,
11175530,Rebekka Franck 
6460814,
10138089,
3044630,
62976,Los cÃ­rculos del tiempo 
12072969,
5805956,
9766063,
12889647,
971239,How to Train Your Dragon 
12093000,
960495,Sarny 
6131767,
8602864,Blood Ties 
17157183,
13497142,Ancient Legends 
13616989,
6287286,
9637428,
13504041,
15706108,
13248799,
1413068,
16029550,Twisted Fairy Tales 
13416711,Patronus 
17155673,
15826651,Blood of Ages 
15719561,
16520900,
17210533,
786699,
16149498,
1442235,ÐÐÐÐ§ÐÐÐ 
13498352,
13144813,
17406952,
549237,
17339738,The Riddle in Stone 
17949078,
3263334,
18008226,Cosmic Aviators 
17354744,
18158535,Red Like the Letter 
17334077,The Bane Chronicles 
7013431,
18229453,
17190226,Surrender Your Love 
18193486,
18171014,Love at Last 
1212610,
17296121,
18397548,
18136883,Touch 
29661618,The Chronicles of St Mary's 
166562,
18620524,
10014677,Forbidden 
13645896,
18086498,
636223,
18813386,Last Stand of the Gods Trilogy 
12914448,
18593863,
18602977,
17586834,Percy Jackson and the Olympians: The Graphic Novels 
18042290,
18815695,
15739817,The Morganville Vampires 
43212281,
21936661,Brent Marks Legal Thrillers 
21878763,The Three Immortal Blades 
21457083,Collide 
22312293,The Keeper 
18530194,Valeria 
1414,
22616552,
22008448,
23277468,
22918893,Rockstar 
22456474,
27816584,
15771745,Carnelyan Pack 
17466895,
1322303,
741481,Alice 19th 
22884757,
23516574,
19048521,
1071726,
22436841,
23681340,
20335752,
24545715,
25022297,
25319777,
25621823,
3831344,
25697968,
25878671,
25855637,
25557058,
26866624,
25339089,
3986964,
27268403,
28175937,
2484198,
17493,The Famous Five 
28430735,The Anunnaki Chronicles 
232467,
29388297,
29897456,
34182067,
18405537,
36390016,The Arclight Saga 
30373132,
32594382,
31447045,
1032,
34866611,
35218197,
35514861,
9698540,
32560066,
35038210,
37562415,Gray Ghost 
41815475,
41829493,A Fairytale Retelling 
40974111,
40832734,Dreaming of Wonderland 
43175143,
44590965,
8225859,
29753206,
44076511,
48913916,
45422326,
52969988,
1880496,
48678296,
115929,
2218102,
10086681,
49240716,Blossom in Winter 
50391716,
27507117,
50264415,
331260,
53398496,
116567,Young Wizards 
44516,
3359011,
379160,
6192376,
3726872,Magdalene Line Trilogy 
6420578,
2432061,
284338,
24816,Calvin and Hobbes 
6771774,
6771730,
620790,
24611735,
108314,
7052308,
7532858,Dawn & Julien 
765983,
1906946,
89838,
779511,
192954,
128518,The Jungle Book 
807002,
6235136,Mystic Deja 
10128608,Flame of Destiny 
690329,
11203057,
77844,
936610,DI Kate Burrows 
199531,
21485,
10169662,
393601,
6972157,Pride 
369439,
9537041,
13282838,Zone Unknown 
16099180,
209889,Dreadnought 
5927595,
590323,The Shamer Chronicles 
274868,
127953,
26474,
14413557,
12878300,
16189172,The Exemeus 
16067631,
101862,
13421433,Finding Ava 
12555756,
1481578,
43327287,
17611261,
16164966,Brie 
15757694,
9768204,
9768203,
23016364,Chocolate Lovers 
15821931,
28958920,
13152194,
19078625,Born in Flames Trilogy 
13420145,The Prophecy Series 
18713134,Hot-Lanta 
13162223,Bentwhistle the Dragon 
35041669,
94351,
2848807,
9786641,
12617286,The Torch Keeper 
693447,Sammy Keyes 
21899705,Famous  
56636,
18684615,Epic of the Kaurava Clan 
21816542,The Lost Souls MC 
24568450,
11324334,
747061,
13260545,Dead City 
22725294,Deviant 
6046158,Young Samurai 
22202,
24677549,PRG Investigations 
25012645,
23016659,
24062434,Wizards of Seattle 
1335601,
27853361,
18456078,
40605223,
31815310,
12970162,The Traitor Spy Trilogy 
25311873,San Diego K-9 Unit 
33260689,The Wages of Sin 
29762106,The Anonymous Man 
32830150,The Vein Chronicles 
36295291,Chronicles of Alsea 
15818357,Dreams & Shadows 
28510777,
28008677,
43468726,
39071348,
38467635,Eve of Man 
33116557,Super Indy 
42113688,
42870267,
43599898,Judges 
43790688,
7511615,
29567621,
35425827,Renegades 
62794,
33310533,
51897150,
27845690,
51983178,
6390031,
49697722,
43708884,
13573419,
307962,
445126,
189182,
196766,
1967633,
143226,
15781,The Sideways Trilogy 
14285,
147908,Wild Cards 
1192521,
3741180,A Vida No Mundo Espiritual 
50781,MonÃ¨re: Children of the Moon 
7023148,
165856,
202650,
9924320,
3073174,Dark Ones 
149505,
43713,
596986,
192955,
1118874,
11680603,LeÃ£o Negro 
5820384,Ohio Books 
150002,
11903141,Caged 
8161632,Faeriewalker 
362002,
10863979,Outside 
12690450,
27297,
484143,
1205297,
14404,Elvis Cole and Joe Pike 
18999,George Smiley 
44780,
13062235,Ø§ÙÙÙÙØ§Ø© Ø§ÙÙÙØ³Ø·ÙÙÙØ© 
12351695,
13551716,
14624906,
16192492,
3426706,Medina 
9475932,Fly by Night 
11714997,Fallen Star 
6344897,
866136,Void 
567610,
15734418,Avalon Trilogy 
8922087,
13605091,Earth Angel Trilogy 
9242236,
2498049,
13517470,
16246625,
424760,
17118326,
7812107,
555987,
2725,
355034,
12180248,Woodcutter Sisters 
44184,Monster 
4303567,
17281601,Savor Us 
12262889,
78159,
16290291,
15768119,Torka aldrig tÃ¥rar utan handskar 
5985016,
18365529,
14058995,
533327,
18474117,
11164732,Katerina 
18713128,Warblers Point 
593109,
203409,
7203997,Zorn Warriors 
6781184,Thirteen Treasures 
10182392,Fullmetal Alchemist: Omnibus 
20518655,Lights of Peril 
18138948,
20773953,
984021,
10552338,
21915986,
10385505,
17335881,The PSS Chronicles 
24767508,
20943623,The Crawford Brothers 
23209822,
11156963,
13606970,The Cat's Eye Chronicles 
17408922,Carnelyan Pack 
23280000,
23285789,Rushed 
20492283,Underestimated 
17913288,Underestimated 
21955078,
401454,
25668685,Coco Pinchard 
21843093,
23517137,
257669,
5505135,Autre-Monde 
17350491,
17556418,
119729,
27263454,
24849026,The Naturals 
23209927,
30839185,Sinners of Saint 
6839020,Fever Crumb Series 
35783057,Tainted Hearts 
393626,
30841984,The Band 
6732019,
41176626,
43356955,
43616139,
13452923,Monogatari 
34763906,
25434361,
31823677,
55792,
44107480,
39297840,
48855342,
128529,
181972,
96505,
6006822,ÙØ§ ÙØ±Ø§Ø¡ Ø§ÙØ·Ø¨ÙØ¹Ø© 
7104,The U.S.A. Trilogy 
5744578,
471174,
108051,
298537,
593105,Rock Harbor 
9263,
815234,
170529,What My Mother Doesn't Know 
533779,
605663,
3105537,
1380834,
254660,
615359,Shark Girl 
331695,
6658659,
5290503,NoÄnÃ­ klub 
9069150,
10711,
5184603,
406422,
62558,
11106249,
1739150,
80738,
13414323,Nira/Sussa 
13564820,The Wiccan Diaries 
131304,
13643831,
838130,Rutshire Chronicles 
9412215,
13741511,American Amaranth 
10710392,
15772095,
15771424,
186445,
7779571,
16093278,
2642142,
16003058,Wicked Elementals  
15743703,The Dark Legacy of Shannara 
53948,
3173125,Peter Brown 
13618136,
54995,
43885,
130730,
13554131,
544354,
2877205,
