id_genre,id_auteur
5,74489
5,706255
2,5618190
5,37871
37,36122
7,58947
2,4833990
9,7956
32,155651
37,274533
5,38550
2,27847
5,27847
5,153394
32,153394
5,3487
29,3487
2,5771850
5,4428962
2,3462951
2,7737308
2,7123498
5,151973
1,359194
2,4541791
2,7094294
2,5621569
2,3152411
2,7302303
2,8073851
58,5893561
5,8253345
2,8119001
5,3456705
7,268722
2,4318269
2,4615197
2,7020231
2,5155341
2,5050492
2,3080608
27,985261
2,4595087
2,6451816
5,445303
37,445303
5,20560
5,10896
5,205
5,1226977
5,41749
5,2778055
5,12534
32,12534
5,53501
72,53501
5,3400721
45,3400721
7,3389
5,4764
72,4764
5,4432
5,545
5,6474348
5,1630
32,1630
5,12476
5,5244478
5,21477
5,14078
5,2786093
5,21475
46,21475
5,36332
118,3063220
5,835348
5,29535
5,874602
37,874602
5,5223
118,5223
647,5223
37,4018722
45,4018722
5,8360
37,8360
5,432
118,432
5,9226
5,6025722
5,1285555
5,43298
37,2987125
5,1318
5,32595
37,4684322
5,880695
32,880695
46,880695
5,3064305
7,5791
9,5791
5,3472
5,4280
45,4280
37,200317
5,941441
5,15873
5,1077326
5,2001717
1,2384
5,3780
37,21911
5,1265
5,7128
5,10465
58,10465
5,1315
21,1315
5,305400
5,2327917
29,4379
5,4
5,5246
5,2894
118,2894
37,175855
37,8349
5,4178
5,12696
32,656983
1,630
37,17015
5,137902
37,137902
1,3447
5,9987
7,169377
72,169377
5,6876
5,13957
2,28569
2,71688
5,71688
2,48192
37,48192
37,4575371
5,41313
5,3090
2,1647762
37,699143
2,2613
2,20248
2,499602
2,2958084
27,2958084
37,4872191
2,4586597
2,3379564
2,19005
5,19005
40,17065
45,17065
5,4637539
2,6251
37,151371
37,4951964
2,9885
5,9885
37,1304470
2,22159
37,4907787
5,47499
5,614
21,614
5,5430144
2,5193034
5,2345
37,2876763
2,11081
46,11081
5,4562483
2,4826501
2,19823
2,4725841
37,2895707
37,5448974
37,5070015
37,4559822
37,1164465
37,6466369
37,5288442
37,1192311
37,767547
37,3027554
37,3041100
45,3041100
37,4629194
37,2895706
37,5351825
37,4718528
37,4336590
37,4737213
37,3251728
37,3023658
45,3023658
37,5441417
37,5027236
37,4692856
37,805184
37,2261547
5,10317
37,5073459
2,4606082
37,4086715
32,25422
37,5360335
37,504038
5,11654
37,4476934
37,4774653
37,4581947
1,3377941
37,4074051
37,5108399
5,415967
37,415967
37,3099544
45,3099544
37,4342215
45,4342215
5,2891665
37,3220024
32,6914204
5,2987
37,2755160
37,4279785
37,164576
37,4116488
45,4116488
37,5186274
37,767317
37,295178
37,56224
5,150038
37,4384465
37,3353516
37,4575289
5,7581
37,3433047
5,3406550
37,1599723
37,2936493
72,2936493
37,4103366
37,4637369
37,3290920
37,4039811
45,4039811
37,6693411
37,6433278
37,6983061
37,7374721
37,7124792
37,7267239
37,5303332
32,5295120
5,5351849
37,2188726
37,2747732
37,4106087
5,190578
37,190578
2,3097905
32,7267262
1,266470
5,2741432
37,7093630
37,1443712
37,6553850
58,6553850
6,15292
5,11664
37,11664
37,7009633
32,7091823
37,1383409
37,6456912
37,370361
37,7170939
37,6855918
37,6950740
2,4428
37,1487748
5,144323
37,8152069
37,3486415
37,2526
37,7105753
37,6549373
37,5804715
45,5804715
37,357601
45,357601
37,6947727
37,45592
37,4600197
5,4208569
37,1238111
37,7074943
2,6916557
37,6980508
1,2383
37,2232265
7,3153776
5,7380291
5,8283255
37,8283255
32,14759054
5,1373880
2,3084517
5,21748
5,1045593
4,1069006
120,1069006
5,9237
37,2891503
45,2891503
37,190922
37,3036304
37,4126827
5,190887
29,190887
5,2903247
37,2903247
37,8108373
5,3408349
2,89439
37,89439
37,49177
72,49177
37,3095893
2,4464118
37,1330292
37,3380908
45,3380908
2,669810
5,8835
5,12531
32,12531
5,1967
2,38531
5,38531
7,20559
5,9550
5,10082
5,1276004
2,153733
5,8726
7,8726
5,8694
7,8694
2,4149342
2,103359
7,51518
40,442240
5,1356336
7,10116
5,5251202
5,52468
7,52468
5,625
40,625
32,234115
7,83937
7,24827
32,24827
7,40173
32,40173
5,1080585
5,59060
5,2687
32,2687
1,10333
5,10333
7,48397
32,48397
5,241301
5,28946
5,477469
37,477469
6,45315
5,49103
7,49103
5,20561
7,20561
5,4861
5,18454
5,38066
27,2503028
32,2503028
5,7742
2,2357
5,18879
5,1654
27,1654
2,17059
5,32637
32,32637
7,7577
5,20602
7,20602
32,346732
5,16218
5,1857564
37,1857564
5,1429808
7,167605
32,167605
119,167605
7,9558
72,9558
5,3849415
32,17054
2,375626
5,40563
5,26930
7,26930
647,26930
5,5339
32,17061
7,479779
7,6988
37,10003
5,9388
29,9388
5,54493
5,15882
46,15882
5,8730
37,93220
5,10015
5,3509
5,837804
9,925098
317,925098
5,784775
1,1612
5,3490
5,72039
29,72039
46,6583
9,994873
5,2546
5,473145
5,63983
5,3534
310,3534
5,978703
5,1130453
29,1130453
5,800019
37,800019
1,4738
5,4738
1,24689
5,9212
10,1439
5,6429
1,138825
5,389474
9,2121
5,972440
5,10746
32,10746
5,13370
5,690619
647,690619
5,3505
5,97313
5,66631
9,1899600
5,120401
5,12581
5,1406384
5,211268
9,211268
5,3670
5,982213
9,287960
5,498072
37,4143266
37,588558
37,203238
2,4866520
5,3420702
5,6587108
37,4668167
2,3980637
5,47104
32,47104
2,3190428
2,7233168
37,3101315
2,837420
37,4506073
37,4086928
37,3095919
37,4382157
37,5434809
2,4838933
37,628636
72,628636
2,4665585
5,4665585
5,65959
5,569
37,4984399
2,6535659
5,1077176
2,4805272
37,5752652
5,26638
37,26638
37,3351454
5,23613
2,4372391
37,4849669
37,4116333
58,4116333
37,4503081
72,4503081
2,281810
37,599916
58,5437976
37,4660036
37,569269
79,55743
79,6887314
79,3961
79,12803
5,6984726
79,14151
79,12732
79,20493
79,15085
79,56328
79,6238
79,13359
79,36203
79,26392
79,24514
79,15091
79,32594
79,70026
79,43554
79,7338
79,12736
5,2266124
1,14610
79,17029
5,13681
79,543719
79,46027
79,12772
79,56002
32,18015
79,18015
79,1642
79,28463
79,6884287
79,93094
79,568999
79,1218557
79,32468
79,5112
79,33907
79,5363
79,53559
79,28995
7,10182
32,10182
5,88506
79,21574
79,68959
79,38954
79,5129
79,14965
79,5951
79,21982
79,16807
79,12425
79,12444
79,5117
32,32401
32,7477505
32,7940084
5,1067608
72,1067608
79,19733
32,16789375
37,16789375
32,4841825
45,4841825
5,8596
5,24830
5,903992
5,15590
5,11078
32,426944
32,26
45,26
5,74046
5,8732
37,22542
45,22542
32,6252
5,24818
5,8347
37,5329
72,5329
5,125984
5,11761
37,11761
5,6206
5,34049
5,108424
5,12521
5,47672
9,6245
27,6245
37,348878
32,27100
5,2347
5,4260
37,4260
5,106
32,106
5,33467
37,157663
37,7579036
37,6562243
37,52989
37,2884780
5,6911915
37,6911915
37,5001654
5,179612
9,179612
37,161133
37,53974
37,53984
37,51424
37,1217665
37,20
5,110982
5,2821144
37,2821144
37,7577278
5,9072
5,65944
37,1233886
37,7258893
37,13139
37,2753954
37,6538605
5,2889003
37,26891
37,3130410
5,1651879
37,1651879
37,7327341
5,176372
37,47640
2,7044750
5,9432
5,3299
5,107170
5,3502
37,3502
29,9334
5,2313
37,3046613
5,2238
5,3354
647,25824
5,27500
5,2960227
5,26417
647,26417
5,2839569
5,7380
5,18752
29,80824
72,80824
5,51589
5,1113469
29,1113469
5,4937879
21,4937879
5,32549
5,13450
647,13450
5,52683
5,15393
32,15393
5,52458
5,22099
5,815
5,749461
21,749461
37,6441917
5,21778
5,4823432
5,197
5,8925
5,9399
5,5285
5,155517
5,52074
5,6466778
32,6466778
5,55215
647,55215
5,8146
5,811
5,286014
5,2617
5,566874
5,500
647,500
5,4370565
5,3873
647,3873
5,4694
2,7151973
5,5829056
58,6554504
2,7121791
5,7121791
40,5131072
2,6550037
2,6546441
5,4851199
2,63898
5,63898
1,4175419
2,4175419
2,6887119
5,6994731
2,6896405
58,7374424
58,7539785
2,8034143
58,7759811
2,8058866
2,7215619
58,7215619
2,73977
2,6950682
2,4785031
2,5622223
32,5622223
2,5997227
2,6576110
2,6452845
2,6574132
2,7056935
2,7226675
2,6875794
2,7105545
58,7105545
2,7753662
2,223343
2,6994378
5,6994378
2,6983012
27,6983012
5,5769238
2,6556689
2,1935000
2,7047863
2,6551005
2,6476625
9,5735
72,5735
5,881203
5,15905
29,15905
5,239579
5,7508
95,7508
5,13661
29,13661
118,13661
29,903
5,1194527
5,15151
29,15151
5,16904
5,3541
9,3541
5,1461
5,585
5,1244
647,1244
5,3345
5,4711
5,589
