id_user,id_auteur
1,18770449
2,18770450
4,656983
4,38569
6,3618
6,25307
6,119755
7,208650
7,2448
8,3389
8,18770451
10,18770452
10,18770453
11,957894
12,18770454
14,18770455
15,2448
15,123715
17,18770456
18,38569
18,58
18,9494
18,656983
19,4476934
20,63898
21,18770457
23,15872
25,1977
26,145435
28,6252
28,38550
28,40563
28,24689
28,3389
29,18770458
30,5209
30,25307
31,2493
31,656983
33,18770459
34,1401
35,5351849
35,18770460
36,8349
36,18770461
36,15872
36,18770462
37,18770463
37,3487
38,18770464
39,150038
41,696805
42,15872
42,18770465
42,18770457
43,18770466
44,173156
44,15959
45,18770467
46,348878
47,208650
48,146374
49,25573
49,4575289
49,1240
49,25422
53,18770468
54,18770464
56,1077326
58,15872
59,40416
61,40563
62,18770469
62,18770470
62,18770471
62,18770472
63,5351849
63,6238
64,18770473
64,3534
64,4191
64,18770474
64,32807
64,18770475
67,58
67,656983
68,18770476
71,6252
72,7074846
72,18770477
72,18880
72,13613071
73,208650
75,18770478
76,18770479
76,18770480
76,4750
77,53936
77,18770481
77,18770482
78,18770479
78,18770483
78,3190
78,1455
79,18770484
80,18770485
81,18770486
81,18770487
82,13450
82,18770488
83,18770489
83,18770490
83,18770491
83,18770492
83,18770493
83,18770494
83,18770495
84,18770496
84,3163298
84,18770494
84,17061
85,8588
85,13544350
85,18770497
85,18770499
86,8588
86,13544350
86,18770497
86,18770499
88,222977
91,151371
92,18770455
93,99044
94,18770477
94,18770480
94,18770500
95,18880
96,18770501
97,3389
97,18770455
98,58
98,18770502
98,18770455
98,4512899
98,63898
98,18770503
100,18770478
100,18770504
100,18770505
100,18770492
100,18770506
100,18770489
100,18770483
100,317354
100,6160
100,18770507
100,45898
100,18770508
100,4637369
101,24689
102,18282
102,24689
103,18770509
104,24689
105,18770510
105,18770511
105,18770489
106,18770512
106,18770513
106,3447
107,25477
107,18770514
107,117582
108,25307
108,24689
108,8588
109,957894
109,18770515
109,4707891
109,18770516
110,18770517
110,18770518
110,17241
110,122092
110,7994
110,18770519
110,18770520
110,18770521
110,692656
110,18770522
110,18770523
112,3389
113,1124
113,66622
113,18770524
113,18770525
115,18770525
115,18880
117,3433047
117,957894
117,4750
118,7074846
118,18770455
118,12470
119,18770479
119,4512899
120,123715
120,1288026
120,4750
120,305400
121,18770526
121,7010806
123,3354
124,18770455
124,18770527
127,5130544
128,18770489
128,18770483
128,18770506
129,12470
130,21911
130,18770528
130,18770529
130,18770483
130,18770464
130,18770530
130,18770531
130,18770493
131,18770483
131,226816
131,18770489
132,93504
132,18770483
132,7210024
132,18770495
133,18770532
134,4512899
134,18770504
135,18770455
135,7074846
135,2743065
135,18770533
135,57198
137,18770534
139,18770535
139,18770536
139,18770537
139,18770527
139,18770493
139,18770483
139,18770539
140,18770496
140,18770511
140,310364
140,18770489
141,18770511
141,18770533
141,18880
142,18770540
142,18770504
142,18770514
143,18770455
143,7074846
143,18770489
143,1068756
144,3389
144,18770541
145,10333
145,18770542
145,18282
145,18770527
147,18770543
147,172512
148,222977
150,18770544
151,18770529
151,18880
151,18770464
151,142270
151,2786093
151,5209619
151,61237
151,310364
151,3534
151,18770545
151,18770546
151,4912047
151,18770547
151,18770548
153,4379
153,3565
153,228089
154,233619
154,18770549
154,11004
154,72605
155,18770550
157,2001717
157,18770551
157,18770464
157,18770495
157,40202
157,13613071
157,18880
157,18770489
157,10465
157,322069
157,142270
157,18770552
157,66622
157,3490
157,99044
157,1367163
157,4785
158,4512899
158,18770529
158,18770489
158,18770490
159,18770491
159,18770495
159,8555975
159,18770553
159,12433
161,105839
161,625
161,123715
162,18770511
162,18770496
162,12470
162,18880
162,1549
165,7074846
166,18770556
166,18770499
166,18770449
167,2976
168,4826501
168,7128
168,18770496
168,18770557
168,18770489
168,18770551
169,18770496
169,57198
169,18770558
169,18770483
169,105839
170,72887
170,3389
171,18770559
172,18770558
172,4826501
174,228089
174,579553
174,18770537
174,16589
176,18770464
177,18770455
179,8149302
179,18770560
179,18770561
180,4750
180,957894
180,18770514
180,4219886
181,18770562
182,18770551
182,18880
182,18770495
182,18770529
183,5209
183,15872
184,25573
185,630
185,566
185,6542440
186,18770455
186,58
186,3467563
188,9693
188,904719
188,22339
188,6331
188,18770563
188,40416
188,18770564
190,3354
190,2887
190,18770565
190,5600
190,18770566
190,18770567
190,18770568
190,18770569
191,8149302
191,18770570
191,18770571
192,8529755
193,3447
193,12470
193,18282
193,8509533
195,3447
195,18770572
195,18770483
196,3447
196,18770570
196,18770566
197,630
197,18770573
197,18770535
197,18770455
197,18770449
197,18770574
197,18770575
199,72887
199,102203
199,18770495
199,18770489
199,18770494
199,18770525
199,18880
199,4388953
199,18770491
199,7074846
199,6861265
199,18770521
199,4785
199,228089
200,18770480
200,7074846
203,656983
204,153394
204,3389
204,1265
204,2345
205,3354
205,2751
205,18770473
205,11291
205,3389
205,40416
206,18770483
206,7701589
206,18770491
206,18770494
206,24689
207,18770483
207,7701589
207,18770491
